focal.species,plot,subplot,treatment,neighbour.species,neighbour.abundance,notes
Arctotheca calendula,1,1,C,Arctotheca calendula,1,
Arctotheca calendula,1,1,C,Cheilanthes austrotenuifolia,1,1%
Arctotheca calendula,1,1,C,Crassula sp,7,
Arctotheca calendula,1,1,C,Daucus glochidiatus,1,
Arctotheca calendula,1,1,C,Gonocarpus nodulosus,1,
Arctotheca calendula,1,1,C,Hyalosperma glutinosum,1,
Arctotheca calendula,1,1,C,Pentameris airoides,13,
Arctotheca calendula,1,1,C,Plantago debilis,3,
Arctotheca calendula,1,1,C,Podolepis lessonii,8,
Arctotheca calendula,1,1,C,Ptilotus gaudichaudii,2,
Arctotheca calendula,1,1,C,Trachymene cyanopetala,1,
Arctotheca calendula,1,1,C,Velleia rosea,1,
Arctotheca calendula,1,1,C,Waitzia acuminata,1,
Arctotheca calendula,1,2,C,Cheilanthes austrotenuifolia,1,3%
Arctotheca calendula,1,2,C,Crassula sp,2,
Arctotheca calendula,1,2,C,Drosera macrantha,1,DROSERA VINE
Arctotheca calendula,1,2,C,Pentameris airoides,1,
Arctotheca calendula,1,2,C,Trachymene ornata,1,
Arctotheca calendula,1,2,C,Waitzia acuminata,9,
Arctotheca calendula,1,3,C,NA,NA,
Arctotheca calendula,2,1,C,Erodium cygnorum,1,
Arctotheca calendula,2,1,C,Gonocarpus nodulosus,1,
Arctotheca calendula,2,1,C,Goodenia berardiana,1,
Arctotheca calendula,2,1,C,Hydrocotyle pilifera,1,
Arctotheca calendula,2,1,C,Waitzia acuminata,3,
Arctotheca calendula,2,2,C,Crassula sp,1,
Arctotheca calendula,2,2,C,Podolepis lessonii,2,
Arctotheca calendula,2,2,C,Ptilotus gaudichaudii,2,
Arctotheca calendula,2,2,C,Schoenia cassiniana,1,
Arctotheca calendula,2,2,C,unknown sp33,1,Wooly Succulent 11:54am 1_9_2018
Arctotheca calendula,2,2,C,Waitzia acuminata,6,
Arctotheca calendula,2,3,C,Dichopogon sp.,1,
Arctotheca calendula,2,3,C,Podolepis lessonii,1,
Arctotheca calendula,2,3,C,Velleia rosea,2,
Arctotheca calendula,2,3,C,Waitzia acuminata,5,
Arctotheca calendula,3,1,C,Arctotheca calendula,4,
Arctotheca calendula,3,1,C,Calandrinia sp,2,
Arctotheca calendula,3,1,C,Calotis hispidula,2,
Arctotheca calendula,3,1,C,Crassula sp,6,
Arctotheca calendula,3,1,C,Goodenia berardiana,3,
Arctotheca calendula,3,1,C,Haloragis odontocarpa,1,
Arctotheca calendula,3,1,C,Pentameris airoides,4,
Arctotheca calendula,3,1,C,Pogonolepis muelleriana,2,
Arctotheca calendula,3,1,C,Ptilotus gaudichaudii,1,
Arctotheca calendula,3,1,C,Spergula arvensis,1,
Arctotheca calendula,3,1,C,Velleia rosea,1,
Arctotheca calendula,3,2,C,Arctotheca calendula,7,
Arctotheca calendula,3,2,C,Medicago polymorpha,2,
Arctotheca calendula,3,2,C,Pentameris airoides,6,
Arctotheca calendula,3,3,C,Arctotheca calendula,4,
Arctotheca calendula,3,3,C,Calandrinia sp,1,
Arctotheca calendula,3,3,C,Chthonocephalus pseudevax,2,
Arctotheca calendula,3,3,C,Crassula sp,3,
Arctotheca calendula,3,3,C,Pentameris airoides,2,
Arctotheca calendula,3,3,C,Pogonolepis muelleriana,3,
Arctotheca calendula,4,1,C,Arctotheca calendula,7,
Arctotheca calendula,4,1,C,Goodenia pusilliflora,5,
Arctotheca calendula,4,1,C,Plantago debilis,3,
Arctotheca calendula,4,1,C,Pogonolepis muelleriana,8,
Arctotheca calendula,4,1,C,Velleia rosea,8,
Arctotheca calendula,4,2,C,Arctotheca calendula,14,
