"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Trachymene cyanopetala","Velleia rosea","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"1","Daucus glochidiatus",7,"E",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Daucus glochidiatus",12,"E",2,0,4,4,0,0,0,0,0,0,0,0,0,0
"3","Daucus glochidiatus",2,"C",3,0,6,6,0,0,0,0,0,0,14,0,0,10
"4","Daucus glochidiatus",5,"E",1,0,10,10,0,0,0,0,0,0,0,0,0,0
"5","Daucus glochidiatus",5,"C",2,0,10,10,0,0,1,0,0,0,2,6,0,23
"6","Daucus glochidiatus",2,"C",2,0,12,12,0,0,0,0,0,0,23,2,2,13
"7","Daucus glochidiatus",2,"E",2,0,14,14,0,0,0,0,0,0,0,0,0,0
"8","Daucus glochidiatus",5,"C",1,0,30,30,0,0,0,0,0,0,0,0,5,0
"9","Daucus glochidiatus",2,"E",3,0,32,32,0,0,0,0,0,0,0,0,0,0
"10","Daucus glochidiatus",8,"C",1,2,0,2,0,7,1,0,0,0,0,1,0,9
"11","Daucus glochidiatus",10,"C",1,2,0,2,0,0,16,0,1,0,0,0,0,22
"12","Daucus glochidiatus",11,"C",1,2,4,6,0,0,0,2,0,0,0,0,3,13
"13","Daucus glochidiatus",15,"C",2,2,4,6,0,0,0,0,0,0,0,1,1,17
"14","Daucus glochidiatus",10,"E",3,2,6,8,0,0,0,0,0,0,0,0,0,0
"15","Daucus glochidiatus",4,"C",1,2,16,18,0,0,0,0,0,0,0,0,0,0
"16","Daucus glochidiatus",6,"C",2,3,0,3,4,1,2,0,0,0,5,1,0,17
"17","Daucus glochidiatus",10,"E",1,4,2,6,0,0,0,0,0,0,0,0,0,0
"18","Daucus glochidiatus",3,"C",2,4,4,8,0,0,0,0,0,0,0,0,0,10
"19","Daucus glochidiatus",13,"C",1,4,4,8,0,0,0,0,0,0,0,0,1,11
"20","Daucus glochidiatus",11,"C",2,4,6,10,0,0,0,0,3,0,0,0,2,4
"21","Daucus glochidiatus",5,"E",3,4,14,18,0,0,0,0,0,0,0,0,0,0
"22","Daucus glochidiatus",3,"E",2,4,16,20,0,0,0,0,0,0,0,0,0,0
"23","Daucus glochidiatus",4,"E",2,4,28,32,0,0,0,0,0,0,0,0,0,0
"24","Daucus glochidiatus",6,"E",2,6,0,6,0,0,0,0,0,0,0,0,0,0
"25","Daucus glochidiatus",1,"E",1,6,0,6,0,0,0,0,0,0,0,0,0,0
"26","Daucus glochidiatus",1,"C",2,6,0,6,0,3,0,0,0,0,0,0,5,28
"27","Daucus glochidiatus",16,"C",3,6,0,6,0,0,0,1,0,0,0,0,0,13
"28","Daucus glochidiatus",8,"E",2,6,2,8,0,0,0,0,0,0,0,0,0,0
"29","Daucus glochidiatus",11,"E",2,6,2,8,0,0,0,0,0,0,0,0,0,0
"30","Daucus glochidiatus",16,"C",2,6,2,8,0,0,1,0,0,0,0,7,0,31
"31","Daucus glochidiatus",15,"C",1,6,8,14,0,0,0,0,2,0,0,0,0,11
"32","Daucus glochidiatus",16,"C",1,7,2,9,0,0,1,0,0,0,0,4,5,35
"33","Daucus glochidiatus",2,"E",1,7,16,23,0,0,0,0,0,0,0,0,0,0
"34","Daucus glochidiatus",1,"C",3,8,0,8,0,1,0,0,0,0,0,0,1,16
"35","Daucus glochidiatus",7,"C",2,8,0,8,0,0,0,0,0,0,0,0,0,0
"36","Daucus glochidiatus",9,"C",2,8,0,8,0,0,1,0,0,0,1,0,2,10
"37","Daucus glochidiatus",11,"C",3,8,0,8,0,0,0,0,0,0,0,5,1,43
"38","Daucus glochidiatus",9,"E",3,8,2,10,0,0,0,0,0,0,0,0,0,0
"39","Daucus glochidiatus",12,"C",1,8,6,14,0,0,0,0,7,0,0,0,2,17
