"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Plantago debilis","Podolepis canescens","Trachymene cyanopetala","Velleia rosea","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"1","Hyalosperma glutinosum",4,"E",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Hyalosperma glutinosum",11,"E",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Hyalosperma glutinosum",4,"E",3,1,0,1,0,0,0,0,0,0,0,0,0,0
"4","Hyalosperma glutinosum",5,"C",2,6,0,6,0,2,3,0,0,0,3,0,47,11
"5","Hyalosperma glutinosum",2,"C",2,6,12,18,0,0,0,0,5,0,0,0,10,4
"6","Hyalosperma glutinosum",5,"C",3,7,0,7,0,0,3,0,1,0,1,0,90,19
"7","Hyalosperma glutinosum",13,"E",3,7,0,7,0,0,0,0,0,0,0,0,0,0
"8","Hyalosperma glutinosum",15,"C",2,7,0,7,0,0,1,0,12,0,0,1,0,28
"9","Hyalosperma glutinosum",5,"C",1,7,1,8,0,0,2,0,2,0,0,0,54,2
"10","Hyalosperma glutinosum",4,"C",2,7,3,10,0,0,4,0,0,0,0,0,7,4
"11","Hyalosperma glutinosum",5,"E",3,8,0,8,0,0,0,0,0,0,0,0,0,0
"12","Hyalosperma glutinosum",5,"E",2,8,3,11,0,0,0,0,0,0,0,0,0,0
"13","Hyalosperma glutinosum",5,"E",1,9,0,9,0,0,0,0,0,0,0,0,0,0
"14","Hyalosperma glutinosum",14,"C",1,9,0,9,0,2,2,0,3,0,0,0,9,5
"15","Hyalosperma glutinosum",8,"E",1,10,8,18,0,0,0,0,0,0,0,0,0,0
"16","Hyalosperma glutinosum",11,"C",1,10,41,51,0,0,2,0,7,0,0,0,1,4
"17","Hyalosperma glutinosum",1,"C",1,11,9,20,0,0,0,0,45,0,0,0,3,0
"18","Hyalosperma glutinosum",16,"C",1,12,3,15,0,0,0,0,0,0,0,0,3,3
"19","Hyalosperma glutinosum",4,"C",3,12,5,17,0,0,6,0,0,0,0,0,14,13
"20","Hyalosperma glutinosum",1,"E",3,12,7,19,0,0,0,0,0,0,0,0,0,0
"21","Hyalosperma glutinosum",9,"C",2,13,0,13,0,7,0,0,2,1,0,0,10,19
"22","Hyalosperma glutinosum",16,"C",3,14,0,14,0,0,0,0,0,0,0,0,1,5
"23","Hyalosperma glutinosum",4,"C",1,14,13,27,0,0,3,0,7,0,0,0,12,9
"24","Hyalosperma glutinosum",12,"E",3,16,1,17,0,0,0,0,0,0,0,0,0,0
"25","Hyalosperma glutinosum",13,"E",1,16,2,18,0,0,0,0,0,0,0,0,0,0
"26","Hyalosperma glutinosum",1,"E",1,16,4,20,0,0,0,0,0,0,0,0,0,0
"27","Hyalosperma glutinosum",3,"E",1,17,1,18,0,0,0,0,0,0,0,0,0,0
"28","Hyalosperma glutinosum",2,"E",1,17,6,23,0,0,0,0,0,0,0,0,0,0
"29","Hyalosperma glutinosum",1,"C",3,17,10,27,0,0,4,0,8,0,0,0,4,6
"30","Hyalosperma glutinosum",10,"C",1,18,2,20,0,0,0,0,0,0,0,0,0,0
"31","Hyalosperma glutinosum",16,"C",2,18,2,20,0,0,0,0,0,0,0,0,4,13
"32","Hyalosperma glutinosum",3,"C",1,20,0,20,0,0,1,0,7,0,0,0,0,5
"33","Hyalosperma glutinosum",2,"E",2,20,5,25,0,0,0,0,0,0,0,0,0,0
"34","Hyalosperma glutinosum",15,"C",1,20,6,26,0,0,0,0,8,0,0,3,1,41
"35","Hyalosperma glutinosum",1,"E",2,20,10,30,0,0,0,0,0,0,0,0,0,0
"36","Hyalosperma glutinosum",14,"C",3,20,10,30,0,1,1,0,2,0,0,1,16,4
"37","Hyalosperma glutinosum",8,"C",3,21,25,46,0,3,0,0,0,5,1,1,9,29
"38","Hyalosperma glutinosum",6,"C",3,22,0,22,0,0,7,0,7,0,0,1,1,6
"39","Hyalosperma glutinosum",13,"C",2,22,6,28,0,5,3,0,2,0,0,0,10,19
"40","Hyalosperma glutinosum",3,"C",2,23,0,23,0,0,3,0,0,0,0,0,4,6
"41","Hyalosperma glutinosum",2,"C",1,24,3,27,0,0,0,0,2,0,0,0,8,3
"42","Hyalosperma glutinosum",9,"E",2,25,0,25,0,0,0,0,0,0,0,0,0,0
"43","Hyalosperma glutinosum",15,"E",3,26,5,31,0,0,0,0,0,0,0,0,0,0
"44","Hyalosperma glutinosum",15,"C",3,27,0,27,0,0,3,1,7,0,0,0,0,24
"45","Hyalosperma glutinosum",12,"C",1,27,3,30,0,0,3,0,9,0,0,0,9,15
"46","Hyalosperma glutinosum",10,"E",3,35,8,43,0,0,0,0,0,0,0,0,0,0
"47","Hyalosperma glutinosum",14,"E",2,36,7,43,0,0,0,0,0,0,0,0,0,0
"48","Hyalosperma glutinosum",8,"E",3,36,18,54,0,0,0,0,0,0,0,0,0,0
"49","Hyalosperma glutinosum",11,"C",3,37,2,39,0,0,0,1,4,0,0,0,0,14
"50","Hyalosperma glutinosum",15,"E",2,38,0,38,0,0,0,0,0,0,0,0,0,0
"51","Hyalosperma glutinosum",1,"C",2,38,27,65,0,0,6,0,0,0,0,0,3,1
"52","Hyalosperma glutinosum",8,"E",2,39,27,66,0,0,0,0,0,0,0,0,0,0
"53","Hyalosperma glutinosum",13,"C",1,41,8,49,0,3,1,0,15,0,0,0,2,2
"54","Hyalosperma glutinosum",12,"E",1,42,1,43,0,0,0,0,0,0,0,0,0,0
"55","Hyalosperma glutinosum",8,"C",1,42,6,48,0,1,0,0,2,1,1,3,10,16
"56","Hyalosperma glutinosum",9,"C",1,44,7,51,0,0,0,0,5,0,0,0,6,10
"57","Hyalosperma glutinosum",6,"E",1,45,4,49,0,0,0,0,0,0,0,0,0,0
"58","Hyalosperma glutinosum",3,"E",3,46,1,47,0,0,0,0,0,0,0,0,0,0
"59","Hyalosperma glutinosum",16,"E",2,48,0,48,0,0,0,0,0,0,0,0,0,0
"60","Hyalosperma glutinosum",6,"E",3,49,3,52,0,0,0,0,0,0,0,0,0,0
"61","Hyalosperma glutinosum",12,"C",3,50,1,51,0,0,1,0,4,0,0,0,7,9
"62","Hyalosperma glutinosum",3,"E",2,53,1,54,0,0,0,0,0,0,0,0,0,0
"63","Hyalosperma glutinosum",10,"C",2,55,38,93,0,0,1,0,2,0,0,0,1,15
"64","Hyalosperma glutinosum",13,"C",3,58,16,74,0,1,0,0,7,0,0,0,3,2
"65","Hyalosperma glutinosum",15,"E",1,59,0,59,0,0,0,0,0,0,0,0,0,0
"66","Hyalosperma glutinosum",12,"E",2,60,0,60,0,0,0,0,0,0,0,0,0,0
"67","Hyalosperma glutinosum",3,"C",3,60,3,63,0,0,1,0,1,0,0,0,1,1
"68","Hyalosperma glutinosum",16,"E",3,61,1,62,0,0,0,0,0,0,0,0,0,0
"69","Hyalosperma glutinosum",7,"E",3,62,12,74,0,0,0,0,0,0,0,0,0,0
"70","Hyalosperma glutinosum",8,"C",2,63,13,76,0,1,0,0,0,0,1,3,3,13
"71","Hyalosperma glutinosum",13,"E",2,67,20,87,0,0,0,0,0,0,0,0,0,0
"72","Hyalosperma glutinosum",12,"C",2,69,0,69,0,0,0,0,6,0,0,0,11,5
"73","Hyalosperma glutinosum",6,"E",2,69,15,84,0,0,0,0,0,0,0,0,0,0
"74","Hyalosperma glutinosum",6,"C",1,70,4,74,0,0,10,0,0,0,0,3,2,10
"75","Hyalosperma glutinosum",9,"E",1,71,16,87,0,0,0,0,0,0,0,0,0,0
"76","Hyalosperma glutinosum",14,"C",2,73,17,90,0,12,0,0,0,0,1,0,9,22
"77","Hyalosperma glutinosum",16,"E",1,74,6,80,0,0,0,0,0,0,0,0,0,0
"78","Hyalosperma glutinosum",7,"C",3,80,9,89,0,0,0,0,0,0,0,0,0,5
"79","Hyalosperma glutinosum",2,"E",3,80,16,96,0,0,0,0,0,0,0,0,0,0
"80","Hyalosperma glutinosum",9,"E",3,81,20,101,0,0,0,0,0,0,0,0,0,0
"81","Hyalosperma glutinosum",9,"C",3,87,20,107,0,13,0,0,1,4,0,0,4,14
"82","Hyalosperma glutinosum",10,"E",1,97,18,115,0,0,0,0,0,0,0,0,0,0
"83","Hyalosperma glutinosum",7,"C",2,98,4,102,0,0,7,0,0,0,0,0,3,15
"84","Hyalosperma glutinosum",10,"E",2,98,13,111,0,0,0,0,0,0,0,0,0,0
"85","Hyalosperma glutinosum",14,"E",1,113,15,128,0,0,0,0,0,0,0,0,0,0
"86","Hyalosperma glutinosum",11,"E",2,123,12,135,0,0,0,0,0,0,0,0,0,0
"87","Hyalosperma glutinosum",6,"C",2,128,4,132,0,0,6,1,0,0,0,0,0,21
"88","Hyalosperma glutinosum",4,"E",1,130,34,164,0,0,0,0,0,0,0,0,0,0
"89","Hyalosperma glutinosum",11,"C",2,179,9,188,0,0,0,0,0,0,1,0,0,17
"90","Hyalosperma glutinosum",7,"E",1,201,12,213,0,0,0,0,0,0,0,0,0,0
"91","Hyalosperma glutinosum",7,"C",1,207,6,213,0,0,0,0,0,0,0,1,0,10
"92","Hyalosperma glutinosum",7,"E",2,233,15,248,0,0,0,0,0,0,0,0,0,0
"93","Hyalosperma glutinosum",11,"E",1,362,22,384,0,0,0,0,0,0,0,0,0,0
