"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Trachymene cyanopetala","Velleia rosea","Arctotheca calendula","Medicago minima","Waitzia acuminata","intra","other"
"1","Pentameris airoides",3,"C",3,0,0,0,0,0,0,0,0,0,3,0,0,0,4
"2","Pentameris airoides",1,"C",3,16,0,16,2,0,0,1,0,0,2,35,0,8,29
"3","Pentameris airoides",11,"C",2,22,0,22,0,0,0,0,0,1,0,0,0,15,20
"4","Pentameris airoides",7,"E",1,24,0,24,0,0,0,0,0,0,0,0,0,0,0
"5","Pentameris airoides",2,"C",3,30,0,30,0,1,10,4,0,0,0,0,0,24,42
"6","Pentameris airoides",9,"E",3,32,0,32,0,0,0,0,0,0,0,0,0,0,0
"7","Pentameris airoides",16,"C",1,34,0,34,0,0,0,0,0,0,0,0,0,15,38
"8","Pentameris airoides",4,"C",1,36,0,36,0,0,0,0,0,1,0,0,0,7,16
"9","Pentameris airoides",10,"C",3,36,0,36,0,0,0,0,1,4,0,0,0,19,37
"10","Pentameris airoides",16,"E",1,36,0,36,0,0,0,0,0,0,0,0,0,0,0
"11","Pentameris airoides",5,"C",1,38,0,38,0,0,0,0,0,10,0,0,0,8,83
"12","Pentameris airoides",8,"C",2,38,0,38,0,0,0,0,0,6,0,0,0,18,19
"13","Pentameris airoides",5,"E",1,40,0,40,0,0,0,0,0,0,0,0,0,0,0
"14","Pentameris airoides",5,"C",2,50,0,50,0,0,0,0,0,1,0,0,1,84,104
"15","Pentameris airoides",2,"C",1,52,0,52,0,14,2,0,0,0,0,0,1,12,31
"16","Pentameris airoides",1,"C",1,54,0,54,0,0,0,2,0,0,5,16,0,12,28
"17","Pentameris airoides",9,"C",3,58,0,58,0,0,0,0,0,2,0,0,0,17,29
"18","Pentameris airoides",14,"C",2,58,0,58,0,0,0,0,1,10,0,1,0,9,11
"19","Pentameris airoides",4,"C",2,66,0,66,0,0,0,0,0,2,0,0,0,31,51
"20","Pentameris airoides",7,"E",2,66,0,66,0,0,0,0,0,0,0,0,0,0,0
"21","Pentameris airoides",2,"C",2,68,0,68,0,2,6,7,0,0,0,0,1,7,28
"22","Pentameris airoides",7,"E",3,68,0,68,0,0,0,0,0,0,0,0,0,0,0
"23","Pentameris airoides",10,"E",3,70,0,70,0,0,0,0,0,0,0,0,0,0,0
"24","Pentameris airoides",5,"C",3,72,0,72,0,0,0,0,0,0,0,0,0,35,99
"25","Pentameris airoides",2,"E",1,76,0,76,0,0,0,0,0,0,0,0,0,0,0
"26","Pentameris airoides",6,"E",3,76,0,76,0,0,0,0,0,0,0,0,0,0,0
"27","Pentameris airoides",9,"C",1,78,0,78,0,0,0,0,0,3,0,0,0,18,25
"28","Pentameris airoides",6,"C",3,80,0,80,0,0,0,1,0,2,0,0,0,6,11
"29","Pentameris airoides",9,"C",2,82,0,82,0,0,0,0,0,0,0,0,0,7,12
"30","Pentameris airoides",13,"C",3,84,0,84,0,1,0,0,0,4,0,0,0,0,28
"31","Pentameris airoides",16,"C",3,84,0,84,0,0,0,0,0,1,0,0,0,18,25
"32","Pentameris airoides",7,"C",1,88,0,88,0,0,0,0,0,0,0,0,0,30,44
"33","Pentameris airoides",14,"E",2,90,0,90,0,0,0,0,0,0,0,0,0,0,0
"34","Pentameris airoides",6,"E",2,92,0,92,0,0,0,0,0,0,0,0,0,0,0
"35","Pentameris airoides",11,"E",3,92,0,92,0,0,0,0,0,0,0,0,0,0,0
"36","Pentameris airoides",16,"C",2,92,0,92,0,0,0,0,0,6,0,0,0,18,19
"37","Pentameris airoides",10,"C",2,94,0,94,0,0,0,0,2,3,0,0,1,23,29
