"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Podolepis canescens","Trachymene cyanopetala","Velleia rosea","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"1","Plantago debilis",1,"C",2,0,0,0,4,0,0,0,0,0,0,0,3,19
"2","Plantago debilis",3,"C",3,0,0,0,0,0,1,0,0,0,0,0,30,14
"3","Plantago debilis",5,"C",2,0,0,0,0,0,0,0,0,0,0,0,9,1
"4","Plantago debilis",7,"E",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Plantago debilis",11,"E",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Plantago debilis",11,"C",3,0,0,0,0,7,1,0,0,0,0,0,64,9
"7","Plantago debilis",5,"C",1,2,0,2,0,0,0,0,0,0,0,0,15,1
"8","Plantago debilis",11,"E",2,3,0,3,0,0,0,0,0,0,0,0,0,0
"9","Plantago debilis",3,"C",2,4,0,4,0,0,6,0,6,0,0,0,28,21
"10","Plantago debilis",13,"E",2,4,0,4,0,0,0,0,0,0,0,0,0,0
"11","Plantago debilis",8,"C",2,5,0,5,0,0,0,0,0,0,0,0,33,12
"12","Plantago debilis",14,"C",3,6,0,6,0,0,0,0,0,0,3,0,50,19
"13","Plantago debilis",12,"E",3,6,1,7,0,0,0,0,0,0,0,0,0,0
"14","Plantago debilis",13,"C",1,7,0,7,0,0,7,0,0,0,0,0,11,9
"15","Plantago debilis",13,"C",3,7,0,7,0,0,6,0,0,0,0,0,41,3
"16","Plantago debilis",3,"C",1,8,0,8,0,0,4,0,0,0,0,0,22,22
"17","Plantago debilis",7,"C",2,9,0,9,0,1,0,0,3,0,0,0,21,5
"18","Plantago debilis",8,"E",3,9,0,9,0,0,0,0,0,0,0,0,0,0
"19","Plantago debilis",10,"C",1,9,0,9,0,9,0,0,0,0,0,1,92,3
"20","Plantago debilis",4,"C",2,10,0,10,0,0,2,0,0,0,0,0,7,7
"21","Plantago debilis",3,"E",3,11,0,11,0,0,0,0,0,0,0,0,0,0
"22","Plantago debilis",10,"E",1,11,0,11,0,0,0,0,0,0,0,0,0,0
"23","Plantago debilis",13,"C",2,11,0,11,0,0,7,0,0,0,0,0,56,6
"24","Plantago debilis",4,"C",3,12,0,12,0,0,5,0,0,0,0,0,12,13
"25","Plantago debilis",5,"E",2,12,0,12,0,0,0,0,0,0,0,0,0,0
"26","Plantago debilis",9,"E",2,12,0,12,0,0,0,0,0,0,0,0,0,0
"27","Plantago debilis",7,"C",1,12,3,15,0,0,0,0,4,0,0,0,5,17
"28","Plantago debilis",2,"C",1,13,0,13,0,6,1,0,1,0,0,0,37,18
"29","Plantago debilis",11,"C",2,13,0,13,0,7,0,0,0,0,0,1,46,2
"30","Plantago debilis",8,"C",1,14,0,14,0,0,0,0,0,0,0,0,25,15
"31","Plantago debilis",11,"C",1,14,0,14,0,5,0,0,0,0,0,1,74,3
"32","Plantago debilis",12,"E",1,14,1,15,0,0,0,0,0,0,0,0,0,0
"33","Plantago debilis",8,"C",3,15,0,15,0,0,0,0,0,1,0,3,26,13
"34","Plantago debilis",5,"C",3,15,24,39,0,0,0,0,0,0,0,0,5,1
"35","Plantago debilis",1,"C",1,17,0,17,0,0,0,1,0,0,0,0,1,15
"36","Plantago debilis",4,"E",2,17,0,17,0,0,0,0,0,0,0,0,0,0
"37","Plantago debilis",10,"E",3,17,0,17,0,0,0,0,0,0,0,0,0,0
"38","Plantago debilis",4,"C",1,18,0,18,0,0,6,0,0,0,0,0,17,20
"39","Plantago debilis",12,"C",3,21,0,21,0,0,0,1,0,1,0,0,12,13
"40","Plantago debilis",9,"C",3,21,0,21,0,13,0,0,0,0,0,3,10,5
"41","Plantago debilis",9,"C",2,23,0,23,0,4,0,0,0,0,0,2,31,4
"42","Plantago debilis",3,"E",2,24,0,24,0,0,0,0,0,0,0,0,0,0
"43","Plantago debilis",12,"C",2,24,0,24,0,0,0,0,0,0,0,0,27,19
"44","Plantago debilis",3,"E",1,25,0,25,0,0,0,0,0,0,0,0,0,0
"45","Plantago debilis",14,"E",3,25,0,25,0,0,0,0,0,0,0,0,0,0
"46","Plantago debilis",2,"E",3,26,0,26,0,0,0,0,0,0,0,0,0,0
"47","Plantago debilis",11,"E",3,26,0,26,0,0,0,0,0,0,0,0,0,0
"48","Plantago debilis",2,"C",2,27,0,27,0,13,0,0,1,0,0,8,33,16
"49","Plantago debilis",10,"C",3,27,0,27,0,6,0,0,0,0,0,0,62,9
"50","Plantago debilis",13,"E",3,27,0,27,0,0,0,0,0,0,0,0,0,0
"51","Plantago debilis",8,"E",2,30,0,30,0,0,0,0,0,0,0,0,0,0
"52","Plantago debilis",1,"E",1,33,0,33,0,0,0,0,0,0,0,0,0,0
"53","Plantago debilis",16,"E",3,33,0,33,0,0,0,0,0,0,0,0,0,0
"54","Plantago debilis",1,"E",3,35,0,35,0,0,0,0,0,0,0,0,0,0
"55","Plantago debilis",5,"E",1,35,0,35,0,0,0,0,0,0,0,0,0,0
"56","Plantago debilis",13,"E",1,37,0,37,0,0,0,0,0,0,0,0,0,0
"57","Plantago debilis",14,"C",2,37,0,37,0,0,11,0,0,0,4,0,42,1
"58","Plantago debilis",6,"C",1,38,0,38,0,0,0,0,0,0,0,0,17,43
"59","Plantago debilis",5,"E",3,43,0,43,0,0,0,0,0,0,0,0,0,0
"60","Plantago debilis",10,"C",2,43,0,43,0,6,0,0,0,0,0,2,30,4
"61","Plantago debilis",12,"E",2,44,0,44,0,0,0,0,0,0,0,0,0,0
"62","Plantago debilis",7,"C",3,45,0,45,0,0,0,0,0,0,0,0,2,3
"63","Plantago debilis",12,"C",1,45,0,45,0,0,0,0,5,0,0,0,13,30
"64","Plantago debilis",6,"C",2,46,0,46,0,0,0,0,0,0,0,1,9,32
"65","Plantago debilis",8,"E",1,46,0,46,0,0,0,0,0,0,0,0,0,0
"66","Plantago debilis",16,"E",1,46,0,46,0,0,0,0,0,0,0,0,0,0
"67","Plantago debilis",14,"C",1,54,0,54,0,0,1,0,0,0,0,3,26,22
"68","Plantago debilis",2,"C",3,58,0,58,0,7,0,0,0,0,0,4,26,7
"69","Plantago debilis",10,"E",2,59,0,59,0,0,0,0,0,0,0,0,0,0
"70","Plantago debilis",4,"E",1,59,7,66,0,0,0,0,0,0,0,0,0,0
"71","Plantago debilis",7,"E",2,60,0,60,0,0,0,0,0,0,0,0,0,0
"72","Plantago debilis",6,"E",1,61,0,61,0,0,0,0,0,0,0,0,0,0
"73","Plantago debilis",14,"E",2,62,0,62,0,0,0,0,0,0,0,0,0,0
"74","Plantago debilis",16,"C",2,63,0,63,0,0,2,0,4,0,0,0,0,17
"75","Plantago debilis",2,"E",1,64,0,64,0,0,0,0,0,0,0,0,0,0
"76","Plantago debilis",1,"E",2,65,0,65,0,0,0,0,0,0,0,0,0,0
"77","Plantago debilis",9,"C",1,70,0,70,0,2,0,0,0,0,0,4,5,20
"78","Plantago debilis",16,"C",1,71,0,71,0,0,0,0,2,0,0,0,0,19
"79","Plantago debilis",6,"C",3,73,0,73,0,0,0,0,0,0,0,11,7,24
"80","Plantago debilis",1,"C",3,75,0,75,2,0,0,0,0,0,0,0,2,25
"81","Plantago debilis",16,"C",3,83,0,83,0,0,0,0,1,0,0,0,0,21
"82","Plantago debilis",7,"E",3,87,0,87,0,0,0,0,0,0,0,0,0,0
"83","Plantago debilis",6,"E",2,99,0,99,0,0,0,0,0,0,0,0,0,0
"84","Plantago debilis",14,"E",1,105,0,105,0,0,0,0,0,0,0,0,0,0
"85","Plantago debilis",6,"E",3,107,0,107,0,0,0,0,0,0,0,0,0,0
"86","Plantago debilis",4,"E",3,109,0,109,0,0,0,0,0,0,0,0,0,0
"87","Plantago debilis",9,"E",1,120,0,120,0,0,0,0,0,0,0,0,0,0
"88","Plantago debilis",16,"E",2,125,0,125,0,0,0,0,0,0,0,0,0,0
"89","Plantago debilis",9,"E",3,132,0,132,0,0,0,0,0,0,0,0,0,0
"90","Plantago debilis",2,"E",2,155,0,155,0,0,0,0,0,0,0,0,0,0
