"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Trachymene cyanopetala","Velleia rosea","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"1","Podolepis canescens",13,"E",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Podolepis canescens",2,"C",3,0,0,0,0,0,0,0,5,0,0,0,2,10
"3","Podolepis canescens",3,"C",3,0,0,0,0,0,0,0,7,0,0,0,1,8
"4","Podolepis canescens",12,"C",1,0,0,0,0,0,0,0,10,0,0,3,0,7
"5","Podolepis canescens",4,"E",1,0,26,26,0,0,0,0,0,0,0,0,0,0
"6","Podolepis canescens",2,"C",2,0,75,75,0,0,0,0,6,0,0,0,4,14
"7","Podolepis canescens",4,"C",2,0,90,90,0,0,0,0,0,0,0,0,5,25
"8","Podolepis canescens",4,"C",1,0,125,125,0,0,0,1,0,0,0,0,3,51
"9","Podolepis canescens",5,"E",1,0,148,148,0,0,0,0,0,0,0,0,0,0
"10","Podolepis canescens",8,"C",3,0,1022,1022,0,0,0,0,2,0,0,0,0,2
"11","Podolepis canescens",3,"C",1,0,1024,1024,0,0,0,0,4,0,0,0,0,7
"12","Podolepis canescens",2,"E",1,1,112,113,0,0,0,0,0,0,0,0,0,0
"13","Podolepis canescens",2,"E",3,1,175,176,0,0,0,0,0,0,0,0,0,0
"14","Podolepis canescens",13,"E",2,2,112,114,0,0,0,0,0,0,0,0,0,0
"15","Podolepis canescens",15,"E",2,2,217,219,0,0,0,0,0,0,0,0,0,0
"16","Podolepis canescens",4,"C",3,2,228,230,0,0,0,2,0,0,0,0,1,32
"17","Podolepis canescens",9,"E",2,3,24,27,0,0,0,0,0,0,0,0,0,0
"18","Podolepis canescens",3,"C",2,3,181,184,0,0,0,0,6,0,0,0,0,7
"19","Podolepis canescens",8,"C",2,5,182,187,0,0,0,0,8,0,0,1,3,8
"20","Podolepis canescens",12,"E",1,7,600,607,0,0,0,0,0,0,0,0,0,0
"21","Podolepis canescens",15,"C",1,11,112,123,0,0,0,0,5,2,0,5,0,7
"22","Podolepis canescens",8,"C",1,11,149,160,0,0,0,0,0,0,0,0,1,3
"23","Podolepis canescens",9,"C",1,11,354,365,0,0,1,0,2,0,0,0,2,19
"24","Podolepis canescens",13,"C",3,12,61,73,0,0,0,0,0,0,0,0,5,8
"25","Podolepis canescens",5,"E",3,12,108,120,0,0,0,0,0,0,0,0,0,0
"26","Podolepis canescens",10,"C",2,12,237,249,0,0,0,0,0,0,0,0,0,13
"27","Podolepis canescens",4,"E",2,12,324,336,0,0,0,0,0,0,0,0,0,0
"28","Podolepis canescens",2,"C",1,15,225,240,0,0,0,0,10,0,0,0,0,4
"29","Podolepis canescens",5,"C",1,16,66,82,0,0,0,0,3,8,0,2,0,8
"30","Podolepis canescens",10,"E",1,16,360,376,0,0,0,0,0,0,0,0,0,0
"31","Podolepis canescens",4,"E",3,18,115,133,0,0,0,0,0,0,0,0,0,0
"32","Podolepis canescens",13,"C",2,19,164,183,0,0,0,0,2,0,0,0,8,14
"33","Podolepis canescens",10,"C",3,19,240,259,0,0,0,5,0,0,0,0,4,21
"34","Podolepis canescens",3,"E",1,21,272,293,0,0,0,0,0,0,0,0,0,0
"35","Podolepis canescens",8,"E",3,22,494,516,0,0,0,0,0,0,0,0,0,0
"36","Podolepis canescens",14,"E",2,23,248,271,0,0,0,0,0,0,0,0,0,0
"37","Podolepis canescens",15,"E",3,23,378,401,0,0,0,0,0,0,0,0,0,0
"38","Podolepis canescens",11,"E",1,39,289,328,0,0,0,0,0,0,0,0,0,0
"39","Podolepis canescens",6,"E",2,43,76,119,0,0,0,0,0,0,0,0,0,0
"40","Podolepis canescens",3,"E",3,46,1331,1377,0,0,0,0,0,0,0,0,0,0
"41","Podolepis canescens",10,"E",3,48,351,399,0,0,0,0,0,0,0,0,0,0
"42","Podolepis canescens",12,"C",2,48,581,629,0,0,0,0,5,0,0,5,0,21
"43","Podolepis canescens",14,"C",1,57,140,197,0,0,0,0,0,0,0,3,2,12
"44","Podolepis canescens",7,"C",3,58,83,141,0,2,4,0,7,0,0,4,2,7
"45","Podolepis canescens",5,"C",3,58,343,401,0,0,0,0,2,13,0,0,0,6
"46","Podolepis canescens",11,"C",3,59,673,732,0,0,0,0,1,0,0,0,1,15
"47","Podolepis canescens",3,"E",2,60,140,200,0,0,0,0,0,0,0,0,0,0
"48","Podolepis canescens",1,"E",3,61,118,179,0,0,0,0,0,0,0,0,0,0
