"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Velleia rosea","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"1","Trachymene cyanopetala",21,"E",1,2,0,2,0,0,0,0,0,0,0,0,0,0
"2","Trachymene cyanopetala",18,"C",2,2,2,4,0,0,0,0,12,0,0,0,6,10
"3","Trachymene cyanopetala",21,"C",2,2,2,4,0,0,0,0,8,0,0,0,8,2
"4","Trachymene cyanopetala",19,"C",1,3,0,3,0,0,0,1,11,0,0,3,0,6
"5","Trachymene cyanopetala",8,"C",1,4,0,4,0,0,2,0,0,0,0,0,1,11
"6","Trachymene cyanopetala",9,"C",3,4,0,4,0,0,0,0,0,0,0,0,2,8
"7","Trachymene cyanopetala",21,"C",3,4,0,4,0,0,0,0,15,0,0,0,3,2
"8","Trachymene cyanopetala",24,"E",2,4,0,4,0,0,0,0,0,0,0,0,0,0
"9","Trachymene cyanopetala",8,"E",3,5,0,5,0,0,0,0,0,0,0,0,0,0
"10","Trachymene cyanopetala",17,"C",3,6,0,6,0,0,0,8,0,0,0,0,1,30
"11","Trachymene cyanopetala",22,"C",3,6,0,6,0,1,0,0,5,0,0,0,0,6
"12","Trachymene cyanopetala",24,"C",1,7,0,7,0,0,28,1,0,0,0,0,6,3
"13","Trachymene cyanopetala",8,"C",2,8,2,10,0,0,7,0,0,0,0,0,2,13
"14","Trachymene cyanopetala",6,"C",2,9,0,9,0,0,0,6,0,0,0,1,5,17
"15","Trachymene cyanopetala",22,"C",2,9,0,9,0,0,0,0,9,0,0,0,1,6
"16","Trachymene cyanopetala",20,"C",3,9,2,11,0,0,0,0,1,0,0,0,13,11
"17","Trachymene cyanopetala",3,"C",1,10,0,10,0,0,0,3,4,0,0,0,20,9
"18","Trachymene cyanopetala",10,"E",3,10,0,10,0,0,0,0,0,0,0,0,0,0
"19","Trachymene cyanopetala",17,"C",1,10,0,10,0,0,0,2,0,0,0,0,1,1
"20","Trachymene cyanopetala",24,"E",1,10,0,10,0,0,0,0,0,0,0,0,0,0
"21","Trachymene cyanopetala",10,"C",2,11,2,13,0,0,0,1,0,0,0,0,2,39
"22","Trachymene cyanopetala",20,"C",1,11,2,13,0,0,0,0,0,0,0,0,9,15
"23","Trachymene cyanopetala",1,"C",1,12,0,12,0,0,0,0,6,0,0,0,0,8
"24","Trachymene cyanopetala",9,"C",2,13,0,13,0,0,0,0,0,0,0,0,3,3
"25","Trachymene cyanopetala",4,"E",1,14,0,14,0,0,0,0,0,0,0,0,0,0
"26","Trachymene cyanopetala",5,"C",2,14,0,14,0,0,0,1,10,0,0,1,0,15
"27","Trachymene cyanopetala",8,"E",1,14,0,14,0,0,0,0,0,0,0,0,0,0
"28","Trachymene cyanopetala",2,"C",3,15,0,15,0,0,0,0,7,0,0,0,4,3
"29","Trachymene cyanopetala",8,"E",2,15,0,15,0,0,0,0,0,0,0,0,0,0
"30","Trachymene cyanopetala",24,"C",3,15,0,15,0,0,8,0,1,0,0,0,6,21
"31","Trachymene cyanopetala",15,"C",1,16,0,16,0,0,0,0,0,0,0,8,1,15
"32","Trachymene cyanopetala",21,"E",3,16,0,16,0,0,0,0,0,0,0,0,0,0
"33","Trachymene cyanopetala",22,"C",1,16,0,16,0,0,0,0,7,0,0,0,0,6
"34","Trachymene cyanopetala",22,"E",2,16,4,20,0,0,0,0,0,0,0,0,0,0
"35","Trachymene cyanopetala",6,"E",2,17,4,21,0,0,0,0,0,0,0,0,0,0
"36","Trachymene cyanopetala",21,"E",2,17,4,21,0,0,0,0,0,0,0,0,0,0
"37","Trachymene cyanopetala",18,"C",3,18,0,18,0,0,0,1,2,0,0,0,18,3
"38","Trachymene cyanopetala",19,"E",1,18,0,18,0,0,0,0,0,0,0,0,0,0
"39","Trachymene cyanopetala",3,"E",2,19,0,19,0,0,0,0,0,0,0,0,0,0
"40","Trachymene cyanopetala",12,"C",2,19,0,19,0,0,0,0,13,0,0,0,0,4
"41","Trachymene cyanopetala",22,"E",1,19,2,21,0,0,0,0,0,0,0,0,0,0
"42","Trachymene cyanopetala",24,"E",3,20,0,20,0,0,0,0,0,0,0,0,0,0
"43","Trachymene cyanopetala",24,"C",2,20,0,20,0,0,13,0,0,0,0,0,8,11
"44","Trachymene cyanopetala",18,"E",2,22,2,24,0,0,0,0,0,0,0,0,0,0
"45","Trachymene cyanopetala",18,"E",3,24,0,24,0,0,0,0,0,0,0,0,0,0
"46","Trachymene cyanopetala",20,"E",1,25,0,25,0,0,0,0,0,0,0,0,0,0
"47","Trachymene cyanopetala",14,"E",1,26,0,26,0,0,0,0,0,0,0,0,0,0
"48","Trachymene cyanopetala",14,"C",1,26,0,26,0,0,0,0,20,0,0,1,0,1
"49","Trachymene cyanopetala",3,"E",1,26,2,28,0,0,0,0,0,0,0,0,0,0
"50","Trachymene cyanopetala",4,"C",3,26,2,28,0,0,0,0,15,0,0,0,1,10
"51","Trachymene cyanopetala",20,"E",2,26,4,30,0,0,0,0,0,0,0,0,0,0
"52","Trachymene cyanopetala",5,"C",3,27,0,27,0,0,0,2,2,0,0,0,1,16
"53","Trachymene cyanopetala",6,"E",1,27,0,27,0,0,0,0,0,0,0,0,0,0
"54","Trachymene cyanopetala",5,"E",1,30,0,30,0,0,0,0,0,0,0,0,0,0
"55","Trachymene cyanopetala",17,"E",3,31,0,31,0,0,0,0,0,0,0,0,0,0
"56","Trachymene cyanopetala",6,"E",3,32,0,32,0,0,0,0,0,0,0,0,0,0
"57","Trachymene cyanopetala",15,"E",2,33,0,33,0,0,0,0,0,0,0,0,0,0
"58","Trachymene cyanopetala",5,"E",2,34,0,34,0,0,0,0,0,0,0,0,0,0
"59","Trachymene cyanopetala",18,"E",1,34,0,34,0,0,0,0,0,0,0,0,0,0
"60","Trachymene cyanopetala",1,"E",2,35,0,35,0,0,0,0,0,0,0,0,0,0
"61","Trachymene cyanopetala",3,"C",2,35,0,35,0,0,0,2,1,0,0,0,7,12
"62","Trachymene cyanopetala",12,"E",2,36,10,46,0,0,0,0,0,0,0,0,0,0
"63","Trachymene cyanopetala",14,"C",2,38,0,38,0,0,0,0,3,0,0,1,0,4
"64","Trachymene cyanopetala",14,"E",3,39,0,39,0,0,0,0,0,0,0,0,0,0
"65","Trachymene cyanopetala",6,"C",3,40,0,40,0,0,0,1,0,0,0,0,5,20
"66","Trachymene cyanopetala",9,"E",3,40,2,42,0,0,0,0,0,0,0,0,0,0
