"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Trachymene cyanopetala","Arctotheca calendula","Medicago minima","Pentameris airoides","intra","other"
"1","Velleia rosea",5,"C",3,0,0,0,0,0,0,1,0,0,0,0,10,22
"2","Velleia rosea",9,"E",3,0,3,3,0,0,0,0,0,0,0,0,0,0
"3","Velleia rosea",8,"C",1,2,0,2,0,0,0,0,0,0,0,1,1,4
"4","Velleia rosea",14,"C",2,2,0,2,0,0,0,0,0,0,0,0,43,11
"5","Velleia rosea",4,"C",3,2,1,3,0,1,0,0,0,0,0,0,19,2
"6","Velleia rosea",2,"C",3,3,0,3,0,0,0,0,0,0,0,0,8,0
"7","Velleia rosea",5,"E",1,3,0,3,0,0,0,0,0,0,0,0,0,0
"8","Velleia rosea",6,"E",1,3,0,3,0,0,0,0,0,0,0,0,0,0
"9","Velleia rosea",8,"E",3,3,0,3,0,0,0,0,0,0,0,0,0,0
"10","Velleia rosea",13,"C",1,3,0,3,0,0,0,0,0,0,0,0,39,5
"11","Velleia rosea",5,"C",2,4,0,4,0,0,0,0,2,0,0,0,11,24
"12","Velleia rosea",12,"C",2,4,0,4,0,0,0,1,0,0,0,0,0,30
"13","Velleia rosea",14,"E",2,4,2,6,0,0,0,0,0,0,0,0,0,0
"14","Velleia rosea",2,"C",1,5,0,5,0,0,0,0,0,0,0,0,27,0
"15","Velleia rosea",8,"E",1,5,0,5,0,0,0,0,0,0,0,0,0,0
"16","Velleia rosea",9,"C",2,5,0,5,0,0,0,0,0,0,0,0,4,4
"17","Velleia rosea",14,"C",1,5,0,5,0,0,0,0,0,0,0,1,39,3
"18","Velleia rosea",2,"E",3,6,0,6,0,0,0,0,0,0,0,0,0,0
"19","Velleia rosea",3,"E",3,6,0,6,0,0,0,0,0,0,0,0,0,0
"20","Velleia rosea",7,"E",2,6,11,17,0,0,0,0,0,0,0,0,0,0
"21","Velleia rosea",3,"C",2,7,0,7,0,0,0,0,0,0,0,0,2,3
"22","Velleia rosea",15,"C",3,7,1,8,0,0,0,0,0,0,0,0,3,5
"23","Velleia rosea",1,"C",3,7,2,9,0,0,0,0,0,0,0,0,30,1
"24","Velleia rosea",7,"E",1,7,15,22,0,0,0,0,0,0,0,0,0,0
