species.code,treatment,open_shade,block,soil_p,date.collected,date.processed,date.gc,expected,present,spent.1,dead.1,well,notes.1,date.germ.remove.1,germ.1,germ.2,dead.2,spent.2,num.left,dead.3,num.stained,date.tz,viable,dead.4,spent.3,total.num.viable,total.num.dead,total,NOTES,G,S
ARCA,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,3,1,16,changed protocol on 10.11.2017,21/11/17,0,2,0,0,14,2,12,0,11,1,0,16,4,20,2 seeds went missing between germination and viability testing,0.15,0.65
CAHI,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,4,16,0,7,9,0,7,13,20,,0,0.35
DAGL,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,16,16,0,0,16,,21/11/17,0,3,0,0,13,2,11,0,8,3,0,11,5,16,,0,0.6875
EROD,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,4,0,3,0,13,2,11,0,10,1,0,14,6,20,,0,0.7
GOBE,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,2,0,18,,21/11/17,0,0,0,0,18,8,10,0,4,6,0,6,14,20,,0.1,0.2
GOPU,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,5,15,0,6,9,0,6,14,20,,0,0.3
HAOD,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,1,0,19,,21/11/17,0,4,3,0,12,1,11,0,2,9,0,7,13,20,,0.05,0.3
HYGL,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,17,0,0,17,,21/11/17,0,1,9,0,7,3,4,0,3,1,0,4,13,17,,0,0.235294118
HYPO,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,18,0,0,18,,21/11/17,4,0,0,0,14,11,3,0,0,3,0,4,14,18,,0,0.222222222
MEDI,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,2,0,18,,21/11/17,0,0,0,0,18,1,17,0,15,2,0,17,3,20,,0.1,0.75
PEAI,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,3,0,17,,21/11/17,0,6,0,0,11,3,8,0,7,0,1,17,3,20,s,0.2,0.65
