focal.species,plot,treatment,subplot,mature,immature,survival.to.reproduction,notes,inflorescences,inviable
Monoculus monstrosus,15,C,3,2,0,yes,"(added one to total seeds, see performance data)",NA,0
Velleia rosea,5,E,2,20,0,yes,2/20 partially eaten,NA,1
Hyalosperma glutinosum,15,E,2,38,0,yes,blown away and later found so check rep unit,NA,0
Trachymene ornata,1,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,1,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,2,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,2,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,2,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,2,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,2,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,2,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,3,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,3,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,3,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,3,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,3,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,3,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,4,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,4,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,4,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,5,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,5,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,5,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,5,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,5,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,5,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,6,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,6,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,6,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,6,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,6,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,7,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,7,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,7,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,7,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,7,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,8,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,8,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,8,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,8,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,8,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,8,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,9,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,9,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,9,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,10,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,10,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,10,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,10,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,12,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,12,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,12,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,12,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,13,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,13,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,13,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,13,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,14,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,14,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,14,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,14,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,14,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,14,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,15,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,15,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,15,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,15,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,15,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,15,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,16,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,16,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,16,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,17,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,17,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,17,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,17,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,17,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,17,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,18,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,18,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,18,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,18,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,18,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,18,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,E,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,C,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,C,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,19,C,3,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,E,1,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,E,2,NA,NA,NA,cyanopetala,NA,NA
Trachymene ornata,20,E,3,NA,NA,NA,cyanopetala,NA,NA
